"Letališki potniški in blagovni promet glede na prihod/odhod letal ter redne/posebne prevoze po državah prihoda/odhoda letal, Ljubljana, Letališèe Jožeta Puènika, meseèno"

"MESEC";"PRIHOD/ODHOD LETAL";"DRŽAVA PRIHODA/ODHODA LETAL";"Potniki"
"2004M02";"Odhod letal";"Južna Afrika";0
"2004M02";"Odhod letal";"Kanada";0
"2004M02";"Odhod letal";"Katar";0
"2004M02";"Odhod letal";"Kazahstan";0
"2004M02";"Odhod letal";"Kirgizistan";0
"2004M02";"Odhod letal";"Kitajska (Ljudska republika)";0
"2004M02";"Odhod letal";"Kosovo";0
"2004M02";"Odhod letal";"Kuvajt";0
"2004M02";"Odhod letal";"Latvija";0
"2004M02";"Odhod letal";"Libanon";0
"2004M02";"Odhod letal";"Libijska Arabska Džamahirija";0
"2004M02";"Odhod letal";"Litva";0
"2004M02";"Odhod letal";"Luksemburg";0
"2004M02";"Odhod letal";"Madžarska";58
"2004M02";"Odhod letal";"Severna Makedonija";1254
"2004M02";"Odhod letal";"Malta";0
"2004M02";"Odhod letal";"Maroko";0
"2004M02";"Odhod letal";"Moldavija (Republika)";0
"2004M02";"Odhod letal";"Nemèija";6975
"2004M02";"Odhod letal";"Nigerija";0
"2004M02";"Odhod letal";"Nizozemska";313
"2004M02";"Odhod letal";"Norveška";0
"2004M02";"Odhod letal";"Oman";0
"2004M02";"Odhod letal";"Pakistan";0
"2004M02";"Odhod letal";"Poljska";27
"2004M02";"Odhod letal";"Portugalska";0
"2004M02";"Odhod letal";"Romunija";0
"2004M02";"Odhod letal";"Ruska federacija";827
"2004M02";"Odhod letal";"Saudska Arabija";0
"2004M02";"Odhod letal";"Sirska Arabska Republika";0
"2004M02";"Odhod letal";"Slovaška";101
"2004M02";"Odhod letal";"Slovenija";13
"2004M02";"Odhod letal";"Somalija";0
"2004M02";"Odhod letal";"Srbija";0
"2004M02";"Odhod letal";"Srbija in Èrna Gora";2291
"2004M02";"Odhod letal";"Sudan";0
"2004M02";"Odhod letal";"Španija";0
"2004M02";"Odhod letal";"Švedska";3
"2004M02";"Odhod letal";"Švica";880
"2004M02";"Odhod letal";"Tanzanija";0
"2004M02";"Odhod letal";"Tunizija";0
"2004M02";"Odhod letal";"Turèija";3891
"2004M02";"Odhod letal";"Turkmenistan";0
"2004M02";"Odhod letal";"Ukrajina";43
"2004M02";"Odhod letal";"Uzbekistan";0
"2004M02";"Odhod letal";"Združene države";0
"2004M02";"Odhod letal";"Združeni arabski emirati";0
"2004M02";"Odhod letal";"Združeno kraljestvo";1368
"2004M02";"Odhod letal";"Neznano";0
"2004M03";"Odhod letal";"Države prihoda/odhoda letal - SKUPAJ";27694
"2004M03";"Odhod letal";"Afganistan";0
"2004M03";"Odhod letal";"Albanija";211
"2004M03";"Odhod letal";"Alžirija";0
"2004M03";"Odhod letal";"Armenija";0
"2004M03";"Odhod letal";"Avstrija";2863
"2004M03";"Odhod letal";"Azerbajdžan";0
"2004M03";"Odhod letal";"Belgija";1290
"2004M03";"Odhod letal";"Belorusija";0
"2004M03";"Odhod letal";"Bolgarija";0
"2004M03";"Odhod letal";"Bosna in Hercegovina";1021
"2004M03";"Odhod letal";"Ciper";0
"2004M03";"Odhod letal";"Èad";0
"2004M03";"Odhod letal";"Èeška republika";760
"2004M03";"Odhod letal";"Èrna Gora";0
"2004M03";"Odhod letal";"Danska";208
"2004M03";"Odhod letal";"Egipt";379
"2004M03";"Odhod letal";"Estonija";0
"2004M03";"Odhod letal";"Finska";0
"2004M03";"Odhod letal";"Francija";2145
"2004M03";"Odhod letal";"Gibraltar";0
"2004M03";"Odhod letal";"Grèija";7
"2004M03";"Odhod letal";"Gruzija";0
"2004M03";"Odhod letal";"Hrvaška";9
"2004M03";"Odhod letal";"Iran (Islamska republika)";0
"2004M03";"Odhod letal";"Irska";0
"2004M03";"Odhod letal";"Islandija";0
"2004M03";"Odhod letal";"Italija";30
"2004M03";"Odhod letal";"Izrael";0
"2004M03";"Odhod letal";"Japonska";0
"2004M03";"Odhod letal";"Jordanija";0
"2004M03";"Odhod letal";"Južna Afrika";0
"2004M03";"Odhod letal";"Kanada";0
"2004M03";"Odhod letal";"Katar";0
"2004M03";"Odhod letal";"Kazahstan";0
"2004M03";"Odhod letal";"Kirgizistan";0
"2004M03";"Odhod letal";"Kitajska (Ljudska republika)";0
"2004M03";"Odhod letal";"Kosovo";0
"2004M03";"Odhod letal";"Kuvajt";0
"2004M03";"Odhod letal";"Latvija";62
"2004M03";"Odhod letal";"Libanon";0
"2004M03";"Odhod letal";"Libijska Arabska Džamahirija";0
"2004M03";"Odhod letal";"Litva";0
"2004M03";"Odhod letal";"Luksemburg";0
"2004M03";"Odhod letal";"Madžarska";9
"2004M03";"Odhod letal";"Severna Makedonija";1193
"2004M03";"Odhod letal";"Malta";10
"2004M03";"Odhod letal";"Maroko";0
"2004M03";"Odhod letal";"Moldavija (Republika)";0
"2004M03";"Odhod letal";"Nemèija";7314
"2004M03";"Odhod letal";"Nigerija";0
"2004M03";"Odhod letal";"Nizozemska";296
"2004M03";"Odhod letal";"Norveška";0
"2004M03";"Odhod letal";"Oman";0
"2004M03";"Odhod letal";"Pakistan";0
"2004M03";"Odhod letal";"Poljska";18
"2004M03";"Odhod letal";"Portugalska";0
"2004M03";"Odhod letal";"Romunija";10
"2004M03";"Odhod letal";"Ruska federacija";1032
"2004M03";"Odhod letal";"Saudska Arabija";0
"2004M03";"Odhod letal";"Sirska Arabska Republika";0
"2004M03";"Odhod letal";"Slovaška";0
"2004M03";"Odhod letal";"Slovenija";17
"2004M03";"Odhod letal";"Somalija";0
"2004M03";"Odhod letal";"Srbija";0
"2004M03";"Odhod letal";"Srbija in Èrna Gora";2364
"2004M03";"Odhod letal";"Sudan";0
"2004M03";"Odhod letal";"Španija";128
"2004M03";"Odhod letal";"Švedska";14
"2004M03";"Odhod letal";"Švica";869
"2004M03";"Odhod letal";"Tanzanija";0
"2004M03";"Odhod letal";"Tunizija";0
"2004M03";"Odhod letal";"Turèija";4067
"2004M03";"Odhod letal";"Turkmenistan";0
"2004M03";"Odhod letal";"Ukrajina";0
"2004M03";"Odhod letal";"Uzbekistan";0
"2004M03";"Odhod letal";"Združene države";0
"2004M03";"Odhod letal";"Združeni arabski emirati";0
"2004M03";"Odhod letal";"Združeno kraljestvo";1368
"2004M03";"Odhod letal";"Neznano";0
"2004M04";"Odhod letal";"Države prihoda/odhoda letal - SKUPAJ";35030
"2004M04";"Odhod letal";"Afganistan";0
"2004M04";"Odhod letal";"Albanija";342
"2004M04";"Odhod letal";"Alžirija";0
"2004M04";"Odhod letal";"Armenija";0
"2004M04";"Odhod letal";"Avstrija";3144
"2004M04";"Odhod letal";"Azerbajdžan";0
"2004M04";"Odhod letal";"Belgija";1278
"2004M04";"Odhod letal";"Belorusija";0
"2004M04";"Odhod letal";"Bolgarija";0
"2004M04";"Odhod letal";"Bosna in Hercegovina";1128
"2004M04";"Odhod letal";"Ciper";5
"2004M04";"Odhod letal";"Èad";0
"2004M04";"Odhod letal";"Èeška republika";876
"2004M04";"Odhod letal";"Èrna Gora";0
"2004M04";"Odhod letal";"Danska";494
"2004M04";"Odhod letal";"Egipt";1762
"2004M04";"Odhod letal";"Estonija";0
"2004M04";"Odhod letal";"Finska";190
"2004M04";"Odhod letal";"Francija";2917
"2004M04";"Odhod letal";"Gibraltar";0
"2004M04";"Odhod letal";"Grèija";362
"2004M04";"Odhod letal";"Gruzija";0
"2004M04";"Odhod letal";"Hrvaška";237
"2004M04";"Odhod letal";"Iran (Islamska republika)";0
"2004M04";"Odhod letal";"Irska";5
"2004M04";"Odhod letal";"Islandija";0
"2004M04";"Odhod letal";"Italija";241
"2004M04";"Odhod letal";"Izrael";126
"2004M04";"Odhod letal";"Japonska";0
"2004M04";"Odhod letal";"Jordanija";412
"2004M04";"Odhod letal";"Južna Afrika";0
"2004M04";"Odhod letal";"Kanada";0
"2004M04";"Odhod letal";"Katar";0
"2004M04";"Odhod letal";"Kazahstan";0
"2004M04";"Odhod letal";"Kirgizistan";0
"2004M04";"Odhod letal";"Kitajska (Ljudska republika)";0
"2004M04";"Odhod letal";"Kosovo";0
"2004M04";"Odhod letal";"Kuvajt";0
